RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
Upstream_Release,2019-02-28T16:58:00Z,BD5C,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.8,79,NA,REL,REL,BD5CREL,1,FALSE
156014,2019-02-28T18:23:38Z,BD5C,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.8,79,4334,A1,A1,BD5CA1,1,TRUE
2017-6013,2019-03-27T00:54:25Z,BD5C,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.8,79,915170,A3,A3,BD5CA3,1,TRUE
20187021,2019-03-27T01:43:33Z,BD5C,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.8,79,916512,A4,A4,BD5CA4,1,TRUE
2017-6005,2019-03-27T07:52:33Z,BD5C,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.8,79,932422,A5,A5,BD5CA5,1,TRUE
2017-6030,2019-03-27T22:03:32Z,BD5C,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.8,79,974085,A6,A6,BD5CA6,1,TRUE
2017-6009,2019-03-29T01:07:06Z,BD5C,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.8,79,1042583,A10,A10,BD5CA10,1,TRUE
sm18-7023,2019-03-29T02:14:32Z,BD5C,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.8,79,1044942,A11,A11,BD5CA11,1,TRUE
2015-6039,2019-03-29T02:34:19Z,BD5C,OR_HOR_2_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.8,79,1045647,B1a,B1,BD5CB1a,1,TRUE
2015-6006,2019-03-29T02:34:39Z,BD5C,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.8,79,1045662,B1b,B1,BD5CB1b,1,TRUE
2015-6041,2019-03-30T02:15:33Z,BD5C,CC_RGU1_J,142.72,142.72,2019UP,NA,37.82,-121.55,4.8,79,1096887,E1a,E1,BD5CE1a,1,TRUE
2015-6035,2019-03-30T02:18:05Z,BD5C,CC_RGD_2_J,142.72,142.72,2019UP,NA,37.82,-121.55,4.8,79,1096962,E1b,E1,BD5CE1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD5D,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.4,78,NA,REL,REL,BD5DREL,1,FALSE
156014,2019-03-01T20:19:25Z,BD5D,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.4,78,35571,A1,A1,BD5DA1,1,TRUE
2017-6013,2019-03-02T13:58:41Z,BD5D,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.4,78,44037,A3,A3,BD5DA3,1,TRUE
20187021,2019-03-14T06:49:57Z,BD5D,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.4,78,182964,A4,A4,BD5DA4,1,TRUE
2017-6005,2019-04-05T17:37:12Z,BD5D,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.4,78,1477299,A5,A5,BD5DA5,1,TRUE
156008,2019-04-06T15:31:28Z,BD5D,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,78,1532458,A6,A6,BD5DA6,1,TRUE
2017-6009,2019-04-07T08:40:42Z,BD5D,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.4,78,1576067,A10,A10,BD5DA10,1,TRUE
sm18-7023,2019-04-07T09:56:16Z,BD5D,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.4,78,1580057,A11,A11,BD5DA11,1,TRUE
2017-6007,2019-04-07T10:34:21Z,BD5D,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.4,78,1582030,A12,A12,BD5DA12,1,TRUE
2017-6028,2019-04-07T17:40:12Z,BD5D,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.4,78,1603868,A13,A13,BD5DA13,1,TRUE
2017-6004,2019-04-07T21:15:09Z,BD5D,SJ_SJG_2_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.4,78,1613279,A14,A14,BD5DA14,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD62,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.44,81,NA,REL,REL,BD62REL,1,FALSE
156014,2019-03-02T02:26:38Z,BD62,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.44,81,37077,A1,A1,BD62A1,1,TRUE
2017-6013,2019-03-02T19:06:59Z,BD62,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.44,81,48314,A3,A3,BD62A3,1,TRUE
2017-6015,2019-03-02T20:33:29Z,BD62,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,5.44,81,48585,A4,A4,BD62A4,1,TRUE
2017-6005,2019-03-29T23:21:21Z,BD62,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.44,81,1092668,A5,A5,BD62A5,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD65,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.85,84,NA,REL,REL,BD65REL,1,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BD66,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.5,79,NA,REL,REL,BD66REL,1,FALSE
156014,2019-03-01T06:35:01Z,BD66,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.5,79,23265,A1,A1,BD66A1,1,TRUE
2017-6013,2019-03-02T07:00:10Z,BD66,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.5,79,37951,A3,A3,BD66A3,1,TRUE
2017-6015,2019-03-02T08:39:21Z,BD66,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.5,79,39317,A4,A4,BD66A4,1,TRUE
2017-6005,2019-03-16T05:26:08Z,BD66,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.5,79,259154,A5,A5,BD66A5,1,TRUE
156008,2019-03-30T05:21:01Z,BD66,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.5,79,1102701,A6,A6,BD66A6,1,TRUE
2017-6020,2019-03-31T14:23:30Z,BD66,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.5,79,1165454,A7,A7,BD66A7,1,TRUE
2017-6036,2019-03-31T15:51:36Z,BD66,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,4.5,79,1168611,A8,A8,BD66A8,1,TRUE
2017-6016,2019-03-31T18:35:35Z,BD66,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.5,79,1173690,A9,A9,BD66A9,1,TRUE
am18-6006,2019-03-31T22:25:24Z,BD66,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.5,79,1179905,A11,A11,BD66A11,1,TRUE
2017-6002,2019-04-01T02:21:12Z,BD66,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.5,79,1189074,A13,A13,BD66A13,1,TRUE
2017-6039,2019-04-01T05:26:57Z,BD66,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.5,79,1196857,A14,A14,BD66A14,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD68,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,6.2,88,NA,REL,REL,BD68REL,1,FALSE
156014,2019-02-28T18:18:35Z,BD68,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,6.2,88,2062,A1,A1,BD68A1,1,TRUE
2018-6013,2019-03-02T17:12:13Z,BD68,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,6.2,88,47253,A3,A3,BD68A3,1,TRUE
2017-6015,2019-03-03T06:11:49Z,BD68,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,6.2,88,49384,A4,A4,BD68A4,1,TRUE
2017-6005,2019-03-09T14:22:11Z,BD68,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,6.2,88,91684,A5,A5,BD68A5,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD69,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.3,75,NA,REL,REL,BD69REL,1,FALSE
156014,2019-02-28T18:16:52Z,BD69,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.3,75,1446,A1,A1,BD69A1,1,TRUE
2017-6013,2019-03-01T16:00:53Z,BD69,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.3,75,33099,A3,A3,BD69A3,1,TRUE
2017-6015,2019-03-01T20:16:11Z,BD69,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.3,75,35525,A4,A4,BD69A4,1,TRUE
2017-6005,2019-03-02T03:21:11Z,BD69,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.3,75,37255,A5,A5,BD69A5,1,TRUE
156008,2019-03-23T00:28:49Z,BD69,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.3,75,686122,A6,A6,BD69A6,1,TRUE
2017-6016,2019-03-23T13:49:35Z,BD69,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.3,75,721531,A9,A9,BD69A9,1,TRUE
sm18-7023,2019-03-23T17:35:28Z,BD69,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.3,75,729946,A11,A11,BD69A11,1,TRUE
2017-6038,2019-03-23T17:57:41Z,BD69,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.3,75,730547,B1a,B1,BD69B1a,1,TRUE
2015-6006,2019-03-23T17:58:31Z,BD69,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.3,75,730577,B1b,B1,BD69B1b,1,TRUE
2015-6041,2019-03-24T02:58:22Z,BD69,CC_RGU1_J,142.72,142.72,2019UP,NA,37.82,-121.55,4.3,75,747769,E1a,E1,BD69E1a,1,TRUE
2015-6035,2019-03-24T03:00:20Z,BD69,CC_RGD_2_J,142.72,142.72,2019UP,NA,37.82,-121.55,4.3,75,747917,E1b,E1,BD69E1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD6B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.63,82,NA,REL,REL,BD6BREL,1,FALSE
156014,2019-02-28T18:18:18Z,BD6B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.63,82,1948,A1,A1,BD6BA1,1,TRUE
2018-6013,2019-03-01T12:29:59Z,BD6B,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,5.63,82,29079,A3,A3,BD6BA3,1,TRUE
2017-6015,2019-03-01T13:50:24Z,BD6B,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,5.63,82,30573,A4,A4,BD6BA4,1,TRUE
2017-6005,2019-03-24T09:07:35Z,BD6B,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.63,82,763710,A5,A5,BD6BA5,1,TRUE
156008,2019-03-25T04:00:23Z,BD6B,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.63,82,804788,A6,A6,BD6BA6,1,TRUE
2015-6001,2019-03-25T20:12:41Z,BD6B,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.63,82,845996,A8,A8,BD6BA8,1,TRUE
am18-6006,2019-03-26T03:38:54Z,BD6B,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,5.63,82,858806,A11,A11,BD6BA11,1,TRUE
2017-6002,2019-03-26T07:41:58Z,BD6B,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.63,82,869271,A13,A13,BD6BA13,1,TRUE
2017-6039,2019-03-26T11:34:38Z,BD6B,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.63,82,880886,A14,A14,BD6BA14,1,TRUE
2017-6001,2019-03-28T11:41:54Z,BD6B,Delt_TC_2_J,127.21,127.22,2019UP,NA,37.98,-121.46,5.63,82,1008176,F1,F1,BD6BF1,1,TRUE
2015-6034,2019-03-30T16:40:38Z,BD6B,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.63,82,1125211,A15a,A15,BD6BA15a,1,TRUE
2017-6033,2019-03-30T18:09:54Z,BD6B,SJ_MAC_4_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.63,82,1127707,A15b,A15,BD6BA15b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD6C,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.41,82,NA,REL,REL,BD6CREL,1,FALSE
156014,2019-02-28T18:20:44Z,BD6C,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.41,82,3143,A1,A1,BD6CA1,1,TRUE
2017-6032,2019-03-16T05:42:24Z,BD6C,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.41,82,259723,A2,A2,BD6CA2,1,TRUE
2017-6013,2019-03-16T07:28:05Z,BD6C,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.41,82,262127,A3,A3,BD6CA3,1,TRUE
20187021,2019-03-24T06:23:04Z,BD6C,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.41,82,756150,A4,A4,BD6CA4,1,TRUE
2017-6005,2019-03-24T16:18:21Z,BD6C,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.41,82,781858,A5,A5,BD6CA5,1,TRUE
156008,2019-03-25T04:10:40Z,BD6C,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.41,82,805113,A6,A6,BD6CA6,1,TRUE
2015-6013,2019-03-25T18:51:55Z,BD6C,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,5.41,82,842408,A9,A9,BD6CA9,1,TRUE
2017-6024,2019-03-25T21:31:31Z,BD6C,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.41,82,848019,A10,A10,BD6CA10,1,TRUE
sm18-7023,2019-03-25T22:25:26Z,BD6C,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,5.41,82,849347,A11,A11,BD6CA11,1,TRUE
2017-6038,2019-03-25T22:47:35Z,BD6C,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.41,82,849996,B1a,B1,BD6CB1a,1,TRUE
2015-6006,2019-03-25T22:48:00Z,BD6C,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.41,82,850008,B1b,B1,BD6CB1b,1,TRUE
156037,2019-03-27T13:09:23Z,BD6C,CVPU_J,144.53,144.53,2019UP,NA,37.81,-121.55,5.41,82,949816,D1a,D1,BD6CD1a,1,TRUE
176070,2019-03-29T02:17:00Z,BD6C,CVP_Tank3_J,144.53,144.53,2019UP,NA,37.81,-121.55,5.41,82,1045041,D1b,D1,BD6CD1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD7A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.7,80,NA,REL,REL,BD7AREL,1,FALSE
156014,2019-02-28T18:23:42Z,BD7A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.7,80,4357,A1,A1,BD7AA1,1,TRUE
2017-6013,2019-03-11T02:20:47Z,BD7A,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.7,80,105206,A3,A3,BD7AA3,1,TRUE
20187021,2019-03-11T03:42:57Z,BD7A,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.7,80,105260,A4,A4,BD7AA4,1,TRUE
2017-6005,2019-03-13T11:38:45Z,BD7A,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.7,80,149645,A5,A5,BD7AA5,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD8A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.85,77,NA,REL,REL,BD8AREL,1,FALSE
156014,2019-02-28T18:13:34Z,BD8A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.85,77,365,A1,A1,BD8AA1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD92,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.66,77,NA,REL,REL,BD92REL,1,FALSE
156014,2019-02-28T20:01:21Z,BD92,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.66,77,9783,A1,A1,BD92A1,1,TRUE
2017-6013,2019-03-22T17:10:01Z,BD92,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.66,77,667015,A3,A3,BD92A3,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD94,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.7,79,NA,REL,REL,BD94REL,1,FALSE
156014,2019-02-28T18:13:49Z,BD94,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.7,79,435,A1,A1,BD94A1,1,TRUE
2017-6013,2019-03-17T14:03:14Z,BD94,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.7,79,352694,A3,A3,BD94A3,1,TRUE
20187021,2019-03-17T16:26:49Z,BD94,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.7,79,361073,A4,A4,BD94A4,1,TRUE
2017-6005,2019-03-25T14:45:13Z,BD94,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.7,79,828132,A5,A5,BD94A5,1,TRUE
156008,2019-03-26T16:07:34Z,BD94,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.7,79,895898,A6,A6,BD94A6,1,TRUE
2015-6001,2019-03-27T01:37:18Z,BD94,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.7,79,916349,A8,A8,BD94A8,1,TRUE
2015-6013,2019-03-27T04:15:33Z,BD94,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,4.7,79,922205,A9,A9,BD94A9,1,TRUE
am18-6002,2019-03-27T07:50:59Z,BD94,HOR_AM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.7,79,932309,A11,A11,BD94A11,1,TRUE
2017-6007,2019-03-27T08:15:53Z,BD94,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.7,79,933810,A12,A12,BD94A12,1,TRUE
2017-6028,2019-03-27T18:42:34Z,BD94,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.7,79,966296,A13,A13,BD94A13,1,TRUE
2017-6039,2019-03-27T21:23:38Z,BD94,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.7,79,972653,A14,A14,BD94A14,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD95,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.85,80,NA,REL,REL,BD95REL,1,FALSE
156014,2019-02-28T18:17:34Z,BD95,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.85,80,1683,A1,A1,BD95A1,1,TRUE
2017-6013,2019-03-02T00:28:15Z,BD95,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.85,80,36718,A3,A3,BD95A3,1,TRUE
20187021,2019-03-08T09:47:42Z,BD95,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.85,80,80165,A4,A4,BD95A4,1,TRUE
2017-6005,2019-03-21T22:04:56Z,BD95,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.85,80,620531,A5,A5,BD95A5,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD96,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.81,80,NA,REL,REL,BD96REL,1,FALSE
156014,2019-02-28T18:14:20Z,BD96,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.81,80,574,A1,A1,BD96A1,1,TRUE
2018-6013,2019-03-01T00:41:05Z,BD96,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.81,80,15485,A3,A3,BD96A3,1,TRUE
2017-6015,2019-03-01T01:55:43Z,BD96,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.81,80,17289,A4,A4,BD96A4,1,TRUE
2017-6005,2019-03-26T12:49:57Z,BD96,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.81,80,885194,A5,A5,BD96A5,1,TRUE
2017-6030,2019-03-27T00:11:31Z,BD96,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.81,80,913734,A6,A6,BD96A6,1,TRUE
2017-6036,2019-03-27T15:46:32Z,BD96,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,4.81,80,957671,A8,A8,BD96A8,1,TRUE
am18-6002,2019-03-27T22:01:41Z,BD96,HOR_AM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.81,80,974025,A11,A11,BD96A11,1,TRUE
2017-6007,2019-03-27T22:24:26Z,BD96,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.81,80,974763,A12,A12,BD96A12,1,TRUE
2017-6002,2019-03-28T01:50:45Z,BD96,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.81,80,980487,A13,A13,BD96A13,1,TRUE
2017-6039,2019-03-28T04:15:45Z,BD96,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.81,80,984926,A14,A14,BD96A14,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BD9A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,80,NA,REL,REL,BD9AREL,1,FALSE
156014,2019-02-28T18:13:01Z,BD9A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,80,280,A1,A1,BD9AA1,1,TRUE
2017-6013,2019-03-01T01:37:12Z,BD9A,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.9,80,16723,A3,A3,BD9AA3,1,TRUE
2017-6015,2019-03-05T19:58:55Z,BD9A,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.9,80,69128,A4,A4,BD9AA4,1,TRUE
2017-6005,2019-03-09T01:14:36Z,BD9A,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,80,86142,A5,A5,BD9AA5,1,TRUE
2017-6030,2019-03-09T20:41:03Z,BD9A,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,80,94713,A6,A6,BD9AA6,1,TRUE
2017-6024,2019-03-10T19:18:22Z,BD9A,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,80,104047,A10,A10,BD9AA10,1,TRUE
am18-6006,2019-03-10T20:30:37Z,BD9A,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,80,104279,A11,A11,BD9AA11,1,TRUE
2017-6007,2019-03-10T20:57:02Z,BD9A,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,80,104500,A12,A12,BD9AA12,1,TRUE
2017-6002,2019-03-11T01:04:17Z,BD9A,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,80,105184,A13,A13,BD9AA13,1,TRUE
2017-6039,2019-03-11T03:46:39Z,BD9A,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.9,80,105304,A14,A14,BD9AA14,1,TRUE
2015-6034,2019-03-14T04:34:29Z,BD9A,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,4.9,80,179418,A15a,A15,BD9AA15a,1,TRUE
2017-6037,2019-03-14T16:10:57Z,BD9A,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.9,80,200314,A15b,A15,BD9AA15b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BDA2,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.3,81,NA,REL,REL,BDA2REL,1,FALSE
156014,2019-02-28T19:13:52Z,BDA2,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.3,81,8549,A1,A1,BDA2A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BDA5,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.29,80,NA,REL,REL,BDA5REL,1,FALSE
156014,2019-02-28T18:51:17Z,BDA5,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.29,80,7598,A1,A1,BDA5A1,1,TRUE
2017-6013,2019-03-02T15:26:28Z,BDA5,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.29,80,45380,A3,A3,BDA5A3,1,TRUE
2015-6011,2019-03-03T04:41:48Z,BDA5,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,5.29,80,49291,A4,A4,BDA5A4,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BDA8,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,80,NA,REL,REL,BDA8REL,1,FALSE
2017-6031,2019-02-28T18:20:52Z,BDA8,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,4.9,80,3203,A1,A1,BDA8A1,1,TRUE
2017-6013,2019-03-09T11:11:01Z,BDA8,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.9,80,90525,A3,A3,BDA8A3,1,TRUE
20187021,2019-03-09T12:11:29Z,BDA8,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,80,90901,A4,A4,BDA8A4,1,TRUE
2017-6005,2019-03-26T13:11:39Z,BDA8,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,80,886322,A5,A5,BDA8A5,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BDAB,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.6,84,NA,REL,REL,BDABREL,1,FALSE
156014,2019-02-28T18:40:52Z,BDAB,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.6,84,6939,A1,A1,BDABA1,1,TRUE
2017-6013,2019-03-01T12:35:56Z,BDAB,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.6,84,29187,A3,A3,BDABA3,1,TRUE
