RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
Upstream_Release,2019-02-28T16:58:00Z,BA68,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.5,83,NA,REL,REL,BA68REL,1,FALSE
156014,2019-03-01T03:25:28Z,BA68,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.5,83,19521,A1,A1,BA68A1,1,TRUE
2017-6032,2019-03-17T17:16:23Z,BA68,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.5,83,363951,A2,A2,BA68A2,1,TRUE
2017-6013,2019-03-18T06:27:05Z,BA68,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.5,83,392508,A3,A3,BA68A3,1,TRUE
20187021,2019-03-18T08:44:24Z,BA68,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.5,83,400992,A4,A4,BA68A4,1,TRUE
2017-6005,2019-03-29T18:23:00Z,BA68,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.5,83,1086054,A5,A5,BA68A5,1,TRUE
156008,2019-03-30T06:00:53Z,BA68,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.5,83,1104345,A6,A6,BA68A6,1,TRUE
2015-6001,2019-03-30T15:50:21Z,BA68,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.5,83,1123905,A8,A8,BA68A8,1,TRUE
2017-6024,2019-03-30T21:11:46Z,BA68,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.5,83,1131919,A10,A10,BA68A10,1,TRUE
am18-6006,2019-03-30T22:18:42Z,BA68,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,5.5,83,1133196,A11,A11,BA68A11,1,TRUE
2017-6007,2019-03-30T22:41:44Z,BA68,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,5.5,83,1133794,A12,A12,BA68A12,1,TRUE
2017-6028,2019-03-31T02:03:02Z,BA68,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.5,83,1139036,A13,A13,BA68A13,1,TRUE
2017-6039,2019-03-31T05:01:33Z,BA68,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.5,83,1144739,A14,A14,BA68A14,1,TRUE
2015-6034,2019-04-01T19:44:16Z,BA68,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.5,83,1247873,A15a,A15,BA68A15a,1,TRUE
2017-6037,2019-04-01T20:22:42Z,BA68,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.5,83,1249504,A15b,A15,BA68A15b,1,TRUE
2017-6029,2019-04-06T12:21:47Z,BA68,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,5.5,83,1522730,A16a,A16,BA68A16a,1,TRUE
2017-6056,2019-04-06T12:38:36Z,BA68,SJ_JP_7_J,93.04,93.04,2019UP,NA,38.05,-121.69,5.5,83,1523635,A16b,A16,BA68A16b,1,TRUE
2017-6029,2019-04-06T15:05:53Z,BA68,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,5.5,83,1531329,A16a,A16,BA68A16a,1,TRUE
2017-6052,2019-04-06T21:59:06Z,BA68,SJ_JP_6_J,93.04,93.04,2019UP,NA,38.05,-121.69,5.5,83,1547532,A16b,A16,BA68A16b,1,TRUE
2017-6029,2019-04-07T04:04:32Z,BA68,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,5.5,83,1561882,A16a,A16,BA68A16a,1,TRUE
2018-6012,2019-04-07T07:36:46Z,BA68,SJ_JP_5_J,93.04,93.04,2019UP,NA,38.05,-121.69,5.5,83,1572365,A16b,A16,BA68A16b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA69,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.4,76,NA,REL,REL,BA69REL,1,FALSE
156014,2019-02-28T20:01:26Z,BA69,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.4,76,9789,A1,A1,BA69A1,1,TRUE
2018-6013,2019-03-07T10:11:50Z,BA69,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.4,76,73386,A3,A3,BA69A3,1,TRUE
20187021,2019-03-08T07:01:43Z,BA69,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.4,76,79420,A4,A4,BA69A4,1,TRUE
2017-6005,2019-03-31T16:42:56Z,BA69,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.4,76,1170105,A5,A5,BA69A5,1,TRUE
2017-6030,2019-04-01T03:20:08Z,BA69,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,76,1191579,A6,A6,BA69A6,1,TRUE
2017-6020,2019-04-01T13:39:49Z,BA69,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.4,76,1228981,A7,A7,BA69A7,1,TRUE
am18-6006,2019-04-01T21:49:41Z,BA69,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.4,76,1253110,A11,A11,BA69A11,1,TRUE
2017-6038,2019-04-01T22:13:12Z,BA69,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.4,76,1254167,B1a,B1,BA69B1a,1,TRUE
2015-6006,2019-04-01T22:13:57Z,BA69,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.4,76,1254199,B1b,B1,BA69B1b,1,TRUE
2015-6005,2019-04-02T20:49:13Z,BA69,OR_hwy4_1_J,134.39,134.39,2019UP,NA,37.89,-121.56,4.4,76,1310950,B2,B2,BA69B2,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA6B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,6.1,83,NA,REL,REL,BA6BREL,1,FALSE
156014,2019-03-01T06:27:54Z,BA6B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,6.1,83,23053,A1,A1,BA6BA1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA6C,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.59,78,NA,REL,REL,BA6CREL,1,FALSE
156014,2019-02-28T18:18:26Z,BA6C,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.59,78,2004,A1,A1,BA6CA1,1,TRUE
2017-6013,2019-03-17T06:32:16Z,BA6C,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.59,78,321540,A3,A3,BA6CA3,1,TRUE
20187021,2019-03-17T07:42:25Z,BA6C,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.59,78,325800,A4,A4,BA6CA4,1,TRUE
2017-6005,2019-04-01T21:31:12Z,BA6C,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.59,78,1252258,A5,A5,BA6CA5,1,TRUE
2017-6030,2019-04-02T07:51:32Z,BA6C,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.59,78,1279258,A6,A6,BA6CA6,1,TRUE
2015-6013,2019-04-03T00:36:38Z,BA6C,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,4.59,78,1317939,A9,A9,BA6CA9,1,TRUE
am18-6003,2019-04-03T03:49:31Z,BA6C,HOR_AM3,159.42,159.42,2019UP,NA,37.8,-121.32,4.59,78,1324441,A11,A11,BA6CA11,1,TRUE
2015-6006,2019-04-03T04:10:17Z,BA6C,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.59,78,1325590,B1b,B1,BA6CB1b,1,TRUE
2015-6005,2019-04-03T22:55:13Z,BA6C,OR_hwy4_1_J,134.39,134.39,2019UP,NA,37.89,-121.56,4.59,78,1373120,B2,B2,BA6CB2,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA6E,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.8,79,NA,REL,REL,BA6EREL,1,FALSE
156014,2019-03-01T06:22:08Z,BA6E,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.8,79,22835,A1,A1,BA6EA1,1,TRUE
2017-6013,2019-03-01T18:04:54Z,BA6E,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.8,79,34676,A3,A3,BA6EA3,1,TRUE
2017-6015,2019-03-02T07:10:30Z,BA6E,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.8,79,38170,A4,A4,BA6EA4,1,TRUE
2017-6005,2019-03-20T11:43:29Z,BA6E,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.8,79,553964,A5,A5,BA6EA5,1,TRUE
2017-6030,2019-04-02T18:21:25Z,BA6E,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.8,79,1306188,A6,A6,BA6EA6,1,TRUE
2015-6001,2019-04-03T03:11:34Z,BA6E,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.8,79,1322582,A8,A8,BA6EA8,1,TRUE
2017-6016,2019-04-03T05:49:51Z,BA6E,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.8,79,1330223,A9,A9,BA6EA9,1,TRUE
