RecSN,DetectDateTime,TagID_Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID
2017-6037,3/29/2019 0:12:03,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040842
2017-6037,3/29/2019 0:12:08,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040845
2017-6037,3/29/2019 0:12:18,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040855
2017-6037,3/29/2019 0:12:28,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040862
2017-6037,3/29/2019 0:12:33,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040866
2017-6037,3/29/2019 0:12:43,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040871
2017-6037,3/29/2019 0:12:48,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040874
2017-6037,3/29/2019 0:12:53,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040877
2017-6037,3/29/2019 0:13:03,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040883
2017-6037,3/29/2019 0:13:48,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040909
2017-6037,3/29/2019 0:15:18,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040957
2017-6037,3/29/2019 0:15:28,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040965
2017-6037,3/29/2019 0:15:43,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040974
2017-6037,3/29/2019 0:15:48,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1040977
2017-6037,3/29/2019 0:18:24,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041061
2017-6037,3/29/2019 0:18:29,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041065
2017-6037,3/29/2019 0:18:54,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041083
2017-6037,3/29/2019 0:19:09,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041090
2017-6037,3/29/2019 0:19:14,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041093
