RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Downstream_Release,3/12/2019 20:41,CB2B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,80,,
Downstream_Release,3/12/2019 20:41,CA58,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,C95E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CB14,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,80,,
Downstream_Release,3/12/2019 20:41,CB36,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,79,,
Downstream_Release,3/12/2019 20:41,C9D4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,79,,
Downstream_Release,3/12/2019 20:41,CAD1,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.3,78,,
Downstream_Release,3/12/2019 20:41,CA90,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CA44,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,83,,
Downstream_Release,3/12/2019 20:41,CB4B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,78,,
Downstream_Release,3/12/2019 20:41,C957,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,81,,
Downstream_Release,3/12/2019 20:41,C9D6,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.2,86,,
Downstream_Release,3/12/2019 20:41,C922,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,85,,
Downstream_Release,3/12/2019 20:41,CA2D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,C9AC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,75,,
Downstream_Release,3/12/2019 20:41,CB76,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,81,,
Downstream_Release,3/12/2019 20:41,CB66,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.1,82,,
Downstream_Release,3/12/2019 20:41,C95D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,79,,
Downstream_Release,3/12/2019 20:41,CA8E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,73,,
Downstream_Release,3/12/2019 20:41,C91A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,7.4,91,,
Downstream_Release,3/12/2019 20:41,CB51,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,84,,
Downstream_Release,3/12/2019 20:41,CA4B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,80,,
Downstream_Release,3/12/2019 20:41,CA51,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,81,,
Downstream_Release,3/12/2019 20:41,CB5C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.5,89,,
Downstream_Release,3/12/2019 20:41,CA72,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,77,,
Downstream_Release,3/12/2019 20:41,CA42,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,77,,
Downstream_Release,3/12/2019 20:41,CB6E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,82,,
Downstream_Release,3/12/2019 20:41,C9A5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,77,,
Downstream_Release,3/12/2019 20:41,C9AB,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,CA32,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,79,,
Downstream_Release,3/12/2019 20:41,CAF4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CB64,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,81,,
Downstream_Release,3/12/2019 20:41,C94E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,84,,
Downstream_Release,3/12/2019 20:41,CB48,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,80,,
Downstream_Release,3/12/2019 20:41,CB62,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,80,,
Downstream_Release,3/12/2019 20:41,CA62,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,76,,
Downstream_Release,3/12/2019 20:41,CB2E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,81,,
Downstream_Release,3/12/2019 20:41,CB45,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,81,,
Downstream_Release,3/12/2019 20:41,CAEB,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,80,,
Downstream_Release,3/12/2019 20:41,CAE8,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,79,,
Downstream_Release,3/12/2019 20:41,CB24,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,82,,
Downstream_Release,3/12/2019 20:41,CA3A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,85,,
Downstream_Release,3/12/2019 20:41,CB3A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,C942,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,C936,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,7.3,91,,
Downstream_Release,3/12/2019 20:41,C976,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,83,,
Downstream_Release,3/12/2019 20:41,CB28,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,78,,
Downstream_Release,3/12/2019 20:41,CBA4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,79,,
Downstream_Release,3/12/2019 20:41,CA9D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,80,,
